Task: 1, Test Name: Check cart size visibility, DOM Id: STRONG____50, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check cart size visibility, DOM Id: STRONG____50, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check cart size visibility, DOM Id: STRONG____50, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check cart size visibility, DOM Id: STRONG____50, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check cart size visibility, DOM Id: STRONG____50, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 1, Test Name: Check cart size visibility, DOM Id: STRONG____50, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 1, Test Name: Check cart size visibility, DOM Id: STRONG____50, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 1, Test Name: Check item tooltips visibility, DOM Id: A__tooltip__225, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check item tooltips visibility, DOM Id: A__tooltip__225, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check item tooltips visibility, DOM Id: A__tooltip__225, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check item tooltips visibility, DOM Id: A__tooltip__225, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check item tooltips visibility, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 1, Test Name: Check item tooltips visibility, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 1, Test Name: Check item tooltips visibility, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 1, Test Name: Check quick links expanded visibility, DOM Id: collapse_1, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check quick links expanded visibility, DOM Id: collapse_1, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check quick links expanded visibility, DOM Id: collapse_1, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check quick links expanded visibility, DOM Id: collapse_1, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check quick links expanded visibility, DOM Id: collapse_1, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 1, Test Name: Check quick links expanded visibility, DOM Id: collapse_1, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 1, Test Name: Check quick links expanded visibility, DOM Id: collapse_1, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 1, Test Name: Check search input visibility, DOM Id: DIV__customsear__41, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check search input visibility, DOM Id: DIV__customsear__41, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check search input visibility, DOM Id: DIV__customsear__41, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check search input visibility, DOM Id: DIV__customsear__41, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check search input visibility, DOM Id: DIV__customsear__41, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 1, Test Name: Check search input visibility, DOM Id: DIV__customsear__41, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 1, Test Name: Check search input visibility, DOM Id: DIV__customsear__41, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 1, Test Name: Check search placeholder text visibility, DOM Id: INPUTtext____42, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check search placeholder text visibility, DOM Id: INPUTtext____42, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check search placeholder text visibility, DOM Id: INPUTtext____42, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check search placeholder text visibility, DOM Id: INPUTtext____42, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check search placeholder text visibility, DOM Id: INPUTtext____42, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 1, Test Name: Check search placeholder text visibility, DOM Id: INPUTtext____42, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 1, Test Name: Check search placeholder text visibility, DOM Id: INPUTtext____42, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 1, Test Name: Check start search button visibility, DOM Id: BUTTONsubmit____43, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check start search button visibility, DOM Id: BUTTONsubmit____43, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check start search button visibility, DOM Id: BUTTONsubmit____43, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check start search button visibility, DOM Id: BUTTONsubmit____43, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check start search button visibility, DOM Id: BUTTONsubmit____43, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 1, Test Name: Check start search button visibility, DOM Id: BUTTONsubmit____43, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 1, Test Name: Check start search button visibility, DOM Id: BUTTONsubmit____43, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 1, Test Name: Check toolbox grid view visibility, DOM Id: I__tiviewgrid__203, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check toolbox grid view visibility, DOM Id: I__tiviewgrid__203, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check toolbox grid view visibility, DOM Id: I__tiviewgrid__203, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check toolbox grid view visibility, DOM Id: I__tiviewgrid__203, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check toolbox grid view visibility, DOM Id: I__tiviewgrid__203, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 1, Test Name: Check toolbox grid view visibility, DOM Id: I__tiviewgrid__203, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 1, Test Name: Check toolbox grid view visibility, DOM Id: I__tiviewgrid__203, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 1, Test Name: Check toolbox list view visibility, DOM Id: I__tiviewlist__205, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check toolbox list view visibility, DOM Id: I__tiviewlist__205, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check toolbox list view visibility, DOM Id: I__tiviewlist__205, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check toolbox list view visibility, DOM Id: I__tiviewlist__205, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check toolbox list view visibility, DOM Id: I__tiviewlist__205, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 1, Test Name: Check toolbox list view visibility, DOM Id: I__tiviewlist__205, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 1, Test Name: Check toolbox list view visibility, DOM Id: I__tiviewlist__205, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 1, Test Name: Check toolbox open filters visibility, DOM Id: ti-filter, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Fail
Task: 1, Test Name: Check toolbox open filters visibility, DOM Id: ti-filter, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Fail
Task: 1, Test Name: Check toolbox open filters visibility, DOM Id: ti-filter, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Fail
Task: 1, Test Name: Check toolbox open filters visibility, DOM Id: ti-filter, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Pass
Task: 1, Test Name: Check toolbox open filters visibility, DOM Id: ti-filter, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 1, Test Name: Check toolbox open filters visibility, DOM Id: ti-filter, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 1, Test Name: Check toolbox open filters visibility, DOM Id: ti-filter, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
